"App","Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Last Updated","Current Ver","Android Ver","Avg_Sentiment","Review_Count","Success","log_installs","log_reviews","is_free","high_success","Last_Updated","days_since_update"
"Photo Editor & Candy Camera & Grid & ScrapBook","ART_AND_DESIGN",4.1,159,19,10000,"Free",0,"Everyone","January 7, 2018","1.0.0","4.0.3 and up",0,0,"0",9.21044036697652,5.07517381523383,1,0,2018-01-07,3015
"Coloring book moana","ART_AND_DESIGN",3.9,967,14,5e+05,"Free",0,"Everyone","January 15, 2018","2.0.0","4.0.3 and up",0.115804597701149,58,"0",13.1223653774023,6.87523208727658,1,0,2018-01-15,3007
"U Launcher Lite – FREE Live Cool Themes, Hide Apps","ART_AND_DESIGN",4.7,87510,8.7,5e+06,"Free",0,"Everyone","August 1, 2018","1.2.4","4.0.3 and up",0,0,"1",15.4249486703984,11.37951977873,1,1,2018-08-01,2809
"Sketch - Draw & Paint","ART_AND_DESIGN",4.5,215644,25,5e+07,"Free",0,"Teen","June 8, 2018","Varies with device","4.2 and up",0,0,"1",17.7275335833924,12.2813888160896,1,1,2018-06-08,2863
"Pixel Draw - Number Art Coloring Book","ART_AND_DESIGN",4.3,967,2.8,1e+05,"Free",0,"Everyone","June 20, 2018","1.1","4.4 and up",0,0,"0",11.5129354649202,6.87523208727658,1,0,2018-06-20,2851
"Paper flowers instructions","ART_AND_DESIGN",4.4,167,5.6,50000,"Free",0,"Everyone","March 26, 2017","1.0","2.3 and up",0,0,"0",10.8197982842103,5.12396397940326,1,0,2017-03-26,3302
"Smoke Effect Photo Maker - Smoke Editor","ART_AND_DESIGN",3.8,178,19,50000,"Free",0,"Everyone","April 26, 2018","1.1","4.0.3 and up",0,0,"0",10.8197982842103,5.18738580584075,1,0,2018-04-26,2906
"Infinite Painter","ART_AND_DESIGN",4.1,36815,29,1e+06,"Free",0,"Everyone","June 14, 2018","6.1.61.1","4.2 and up",0,0,"1",13.8155115579638,10.5136878122751,1,1,2018-06-14,2857
"Garden Coloring Book","ART_AND_DESIGN",4.4,13791,33,1e+06,"Free",0,"Everyone","September 20, 2017","2.9.2","3.0 and up",0.241634604978355,100,"1",13.8155115579638,9.53184399290347,1,1,2017-09-20,3124
"Kids Paint Free - Drawing Fun","ART_AND_DESIGN",4.7,121,3.1,10000,"Free",0,"Everyone","July 3, 2018","2.8","4.0.3 and up",0,0,"0",9.21044036697652,4.80402104473326,1,0,2018-07-03,2838
"Text on Photo - Fonteee","ART_AND_DESIGN",4.4,13880,28,1e+06,"Free",0,"Everyone","October 27, 2017","1.0.4","4.1 and up",0,0,"1",13.8155115579638,9.53827627757511,1,1,2017-10-27,3087
"Name Art Photo Editor - Focus n Filters","ART_AND_DESIGN",4.4,8788,12,1e+06,"Free",0,"Everyone","July 31, 2018","1.0.15","4.0 and up",0,0,"1",13.8155115579638,9.08125621856465,1,1,2018-07-31,2810
